Fecha,Usuario,Texto_Publicacion,Sentimiento,Hashtags,Menciones,Likes,Retweets,Ubicacion,Tema
,Usuario77,La Política es un desastre. Me siento enojado.,Negativo,"#Política, #Política, #Política","@Usuario84, @Usuario66",767.0,473.0,Bogotá,Entretenimiento
2021-02-27,Usuario35,La Entretenimiento es un desastre. Me siento decepcionado.,Negativo,"#Política, #Deportes","@Usuario90, @Usuario36",959.0,214.0,Barranquilla,Tecnología
2021-10-20,Usuario55,La Salud es un desastre. Me siento triste.,Negativo,"#Deportes, #Política","@Usuario70, @Usuario51",350.0,72.0,Barranquilla,Salud
2021-07-10,Usuario32,La Entretenimiento es un desastre. Me siento triste.,Neutro,"#Política, #Política, #Tecnología",@Usuario38,217.0,384.0,Cali,Entretenimiento
2021-01-02,,La Tecnología es un desastre. Me siento pésimo.,Negativo,,,242.0,293.0,Bogotá,Tecnología
2021-09-24,Usuario1,¡Me siento excelente! La Entretenimiento es lo mejor.,Negativo,#Salud,@Usuario54,96.0,300.0,Bogotá,Tecnología
2020-02-29,Usuario56,La Salud es un desastre. Me siento mal.,Neutro,"#Salud, #Política","@Usuario61, @Usuario94",78.0,293.0,Barranquilla,Tecnología
2022-07-12,Usuario92,¡Me siento excelente! La Deportes es lo mejor.,Positivo,"#Deportes, #Entretenimiento, #Deportes",@Usuario10,618.0,90.0,Medellín,Política
2021-02-06,Usuario40,¡Me siento bien! La Salud es lo mejor.,Positivo,"#Política, #Tecnología, #Deportes",,429.0,487.0,Bogotá,Política
2021-10-28,Usuario13,La Salud es un desastre. Me siento triste.,Neutro,#Entretenimiento,@Usuario34,65.0,239.0,Cartagena,Tecnología
2021-04-25,Usuario12,¡Me siento feliz! La Deportes es lo mejor.,Positivo,,,934.0,146.0,Barranquilla,Salud
2020-08-14,Usuario87,¡Me siento excelente! La Entretenimiento es lo mejor.,Positivo,#Deportes,"@Usuario16, @Usuario52",975.0,245.0,Medellín,Tecnología
